Index,Chase,Stalk,Predict,Wander,Ambush,Track
91,0.0181171,0,0.4841505,0.1659108,0,0.3318216,0
92,0.01778129,0,0.4841436,0.1660251,0,0.3320501,0
93,0.01743154,0,0.4841356,0.1661443,0,0.3322886,0
94,0.01703946,0,0.4841259,0.1662782,0,0.3325565,0
95,0.01669896,0,0.4841166,0.1663948,0,0.3327896,0
96,0.01632145,0,0.4841056,0.1665243,0,0.3330487,0
97,0.01594276,0,0.4840937,0.1666545,0,0.3333091,0
98,0.0155835,0,0.4840815,0.1667783,0,0.3335567,0
99,0.01518803,0,0.4840673,0.1669149,0,0.3338298,0
100,0.01478508,0,0.4840518,0.1670544,0,0.3341087,0
101,0.01436906,0,0.4840347,0.1671987,0,0.3343975,0
102,0.01397855,0,0.4840178,0.1673346,0,0.3346691,0
103,0.01354408,0,0.4839978,0.167486,0,0.3349721,0
104,0.01313628,0,0.483978,0.1676286,0,0.3352571,0
105,0.01268746,0,0.483955,0.1677859,0,0.3355717,0
106,0.01224537,0,0.4839311,0.1679412,0,0.3358824,0
107,0.01179529,0,0.4839055,0.1680997,0,0.3361995,0
108,0.01131545,0,0.4838769,0.1682692,0,0.3365385,0
109,0.01090032,0,0.4838508,0.1684163,0,0.3368326,0
110,0.01044402,0,0.483821,0.1685783,0,0.3371567,0
111,0.009979879,0,0.4837893,0.1687436,0,0.3374873,0
112,0.009504024,0,0.4837553,0.1689136,0,0.3378271,0
113,0.00901519,0,0.4837189,0.1690886,0,0.3381773,0
114,0.008527624,0,0.483681,0.1692638,0,0.3385276,0
115,0.007984463,0,0.4836369,0.1694595,0,0.3389191,0
116,0.007524678,0,0.4835981,0.1696257,0,0.3392515,0
117,0.007033154,0,0.4835551,0.1698039,0,0.3396078,0
118,0.006500075,0,0.4835066,0.1699978,0,0.3399955,0
119,0.006004511,0,0.4834598,0.1701786,0,0.3403571,0
120,0.005459439,0,0.4834064,0.170378,0,0.3407561,0
121,0.004906226,0,0.4833502,0.1705812,0,0.3411624,0
122,0.004362441,0,0.4832929,0.1707816,0,0.3415631,0
